Q,"BB84 N = 1, Qx = Q","BB84 N = 1, Qx = Q(1-Q)","BB84 N = 2, Qx = Q","BB84 N = 2, Qx = Q(1-Q)","BB84 N = 3, Qx = Q","BB84 N = 3, Qx = Q(1-Q)",6 State N = 1,6 State N = 2,6 State N = 3,Our Qf=Qx=Q,"Our Qf=Qr=Q, Qx = 2Q(1-Q)","Qf=Q, Qr=2Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = Qf(1-Qr)+Qr(1-Qf)","Qf=2Q, Qr=Q, Qx = (Qf+Qr)/2","Qf=Q, Qr=2Q, Qx = (Qf+Qr)/2"
0.068,0.283194,0.3009,0.57746,0.595826,0.618308,0.636765,0.36303,0.722328,0.768824,0.557859,0.504519,0.207851,0.335664,0.449154,0.294208
0.069,0.275648,0.293808,0.572071,0.590879,0.613893,0.632796,0.355963,0.718235,0.765884,0.551862,0.497383,0.197663,0.324524,0.440458,0.285789
0.07,0.268154,0.286745,0.566689,0.585941,0.609492,0.628845,0.348931,0.714134,0.762946,0.545941,0.490255,0.187498,0.313368,0.431773,0.277443
0.071,0.260711,0.279714,0.561314,0.581014,0.605104,0.624911,0.341934,0.710025,0.76001,0.540092,0.483069,0.177374,0.302195,0.423088,0.269146
0.072,0.253319,0.272735,0.555945,0.576096,0.600729,0.620992,0.33497,0.705908,0.757074,0.534295,0.475976,0.167275,0.290991,0.41431,0.260812
0.073,0.245976,0.265808,0.550582,0.571188,0.596366,0.61709,0.328041,0.701782,0.754139,0.528331,0.468747,0.157219,0.279745,0.405534,0.25255
0.074,0.238682,0.258933,0.545226,0.56629,0.592016,0.613203,0.321144,0.697647,0.751205,0.522421,0.461625,0.147187,0.268489,0.396757,0.244354
0.075,0.231398,0.252108,0.539876,0.5614,0.587678,0.609332,0.314281,0.693504,0.748271,0.516577,0.454411,0.137203,0.257224,0.387963,0.236113
0.076,0.224156,0.245334,0.534533,0.55652,0.583351,0.605475,0.30745,0.689353,0.745337,0.510783,0.447257,0.127242,0.245937,0.379101,0.227939
0.077,0.216962,0.238608,0.529195,0.551648,0.579036,0.601633,0.300651,0.685192,0.742403,0.504818,0.44006,0.117333,0.234611,0.370234,0.21983
0.078,0.209816,0.231896,0.523863,0.546785,0.574732,0.597805,0.293884,0.681023,0.739469,0.498929,0.432877,0.107445,0.223281,0.36136,0.211693
0.079,0.202716,0.225227,0.518536,0.541931,0.570439,0.593991,0.287148,0.676845,0.736535,0.493098,0.425692,0.097614,0.211948,0.352477,0.203611
0.08,0.195663,0.218606,0.513216,0.537085,0.566157,0.590191,0.280444,0.672659,0.7336,0.48726,0.418486,0.087802,0.200583,0.343539,0.195592
